id,from_user_id,taskname,workday,overday,memo,is_active,create_at,update_at
6,2,ニプロファーマ,2022-03-05 00:00:00,2022-03-09 00:00:00,セミナー動画,false,2022-03-02 05:44:14.271643,2022-03-05 18:01:59.753814
9,2,SONY,2022-03-06 00:00:00,2022-03-06 00:00:00,SONYのグループ会社のどこに応募するか決めるためにフォーラムのアーカイブを視聴する。,false,2022-03-04 01:42:49.742885,2022-03-05 18:34:45.896777
10,2,クレスコ,2022-03-06 00:00:00,2022-03-06 00:00:00,ウェブセミナーを視聴後応募,false,2022-03-04 01:48:14.352218,2022-03-06 07:42:09.331863
3,2,アイ・エス・ビー,2022-03-05 00:00:00,2022-03-07 00:00:00,適性検査,false,2022-03-02 05:42:56.898842,2022-03-07 00:58:48.228496
33,2,MDVの質問メモ,2022-03-23 00:00:00,2022-03-23 00:00:00,機内で作成、メモ帳に書く(アドバンストメディアから流用),false,2022-03-22 21:18:47.9889,2022-03-24 04:50:06.016856
13,2,大塚商会,2022-03-11 00:00:00,2022-03-14 00:00:00,"エントリー動画、適性検査
間に合わず、、、",false,2022-03-04 11:11:17.064275,2022-03-14 15:11:07.759241
30,2,Sony デジタルネットワークアプリケーション,2022-03-17 00:00:00,2022-03-18 00:00:00,適性検査,false,2022-03-15 13:19:55.939803,2022-03-20 00:59:41.944912
11,2,ブレインパッド,2022-03-06 00:00:00,2022-03-06 00:00:00,"https://hrmos.co/pages/brainpad/jobs/6010433/apply
エントリーシートの記入
⇒データサイエンティスト系はちょっとアピール難しい気がしてきたので辞退",false,2022-03-04 02:01:25.165331,2022-03-07 03:56:55.95519
27,2,湯山製作所,2022-03-14 00:00:00,2022-03-14 00:00:00,"3/14までにES
⇒間に合わず、、、",false,2022-03-12 04:51:34.05375,2022-03-14 15:13:47.172257
12,2,両備システムズ,2022-03-06 00:00:00,2022-03-03 00:00:00,"ES(済)、履歴書(手書き)
⇒締め切りオーバー",false,2022-03-04 02:05:20.459323,2022-03-07 04:04:46.571396
17,2,都築電気,2022-06-01 00:00:00,2022-06-01 00:00:00,"会社説明動画を視聴後申し込み
⇒申し込み遅れ(3/6)
次回選考まで待ち(4月下旬)",true,2022-03-05 19:57:20.526767,2022-03-05 19:57:20.526773
16,2,Sonyグループ,2022-03-06 00:00:00,2022-03-08 00:00:00,プロフィールシート提出、就職難易度高すぎ問題あり,false,2022-03-05 19:11:44.731707,2022-03-07 17:58:26.562898
18,2,メディサイエンスプランニング,2022-03-07 00:00:00,2022-03-07 00:00:00,"MyCareerBox
⇒締め切りオーバー
⇒データサイエンティストの志望動機ないわ",false,2022-03-07 07:23:58.94592,2022-03-07 17:59:07.875857
19,2,富士フィルムヘルスケアシステムズ,2022-03-13 00:00:00,2022-03-14 00:00:00,"MyCareerBox
間に合わず、、、",false,2022-03-07 07:24:40.040481,2022-03-14 15:14:12.763232
24,2,アドバンストメディア,2022-03-13 00:00:00,2022-03-14 00:00:00,先輩社員への質問投稿,false,2022-03-09 06:50:41.050205,2022-03-14 15:29:41.735134
2,2,総合メディカル,2022-03-10 00:00:00,2022-03-15 00:00:00,"エントリーシート, 適性検査",false,2022-03-02 05:42:06.393581,2022-03-10 15:47:40.892197
15,2,Sony デジタルネットワークアプリケーション,2022-03-10 00:00:00,2022-03-13 00:00:00,3/9の座談会以降でESをかく,false,2022-03-05 18:35:12.193926,2022-03-12 03:57:51.0107
21,2,パナソニックIS,2022-03-09 00:00:00,2022-03-11 00:00:00,適性検査、ES,false,2022-03-08 11:40:53.545836,2022-03-12 03:57:54.290917
14,2,さくら薬局,2022-03-11 00:00:00,2022-03-12 00:00:00,薬剤師履歴書,false,2022-03-05 17:31:44.372867,2022-03-12 03:58:03.129977
23,2,富士フィルム合同セミナー視聴,2022-03-11 00:00:00,2022-03-11 00:00:00,"",false,2022-03-09 06:29:51.152616,2022-03-12 04:26:29.297419
4,2,SCSK,2022-03-11 00:00:00,2022-03-16 00:00:00,ウェブセミナー,false,2022-03-02 05:43:21.873476,2022-03-12 05:26:06.986311
5,2,OLYMPUS,2022-03-13 00:00:00,2022-03-15 00:00:00,"セミナー動画、ES
⇒キャンセル(実験を大事にする)",false,2022-03-02 05:43:48.709577,2022-03-15 13:21:20.695948
7,2,SCSK minori,2022-03-13 00:00:00,2022-03-13 00:00:00,ES,false,2022-03-02 05:59:34.088528,2022-03-15 16:07:54.069204
